idelem;ALTURA MAXIMA;NOMBRE TUNEL;POINT_X;POINT_Y;SENTIDO;COMENTARIO- TIPO GALIBO;LATITUD;LONGITUD
8927;3;SANTA CRUZ DE MARCENADO BAJO SERRANO JOVER;439300,8839;4475695,577;E: Princesa;CHAPAS con cadenas, bajo pórtico;40,4296843;-3,7156006
8924;2,95;GLORIETA DE SAN VICENTE (ENTRADA PRINCIPAL) RAMPA DE ACCESO Y VIRGEN DEL PUERTO - PASEO DEL REY;438889,0989;4474423,062;E: Virgen del Puerto;CHAPAS con cadenas;40,4181908;-3,7203326
8925;4;GLORIETA DE SAN VICENTE (ENTRADA PRINCIPAL) RAMPA DE ACCESO Y VIRGEN DEL PUERTO - PASEO DEL REY;439101,5316;4474659,531;E: Cta San Vicente;CHAPAS con cadenas;40,4203439;-3,7178517
8955;4,5;AVENIDA DE PÍO XII - MONFORTE DE LEMOS - SINESIO DELGADO BAJO PASEO DE LA CASTELLANA;442746,4367;4480399,381;E: Avda Pio XII (tubo sur) a M30;BARRA con cadenas, bajo PMV;40,47230268;-3,675406786
8936;3;AZCA;441464,0362;4477835,839;E: H Pinzón N-2;Estructura (y barra con cadenas, bajo frontis;40,4491198;-3,6902975
8937;4;AZCA;441463,4128;4477828,772;E: H Pinzón N-1;BARRA con cadenas en frontis;40,4490561;-3,6903042
8938;3;AZCA;441154,5001;4478216,599;E: G Perón C Haya N-2;Portico;40,452528;-3,6939828
8939;4;AZCA;441099,2385;4478264,333;E: G Perón C Haya N-1;Estructura (exterior) con tres placas colgando;40,4529541;-3,6946389
8940;3;AZCA;441158,5465;4478169,3;E: G Perón Entreplanta;Estructura con CHAPAS con cadenas;40,4521022;-3,6939307
8941;3;AZCA;441141,4101;4478105,872;E: G Perón Entreplanta;Estructura con CHAPAS con cadenas;40,4515296;-3,6941269
8942;4;AZCA;441257,2772;4478216,569;E: Orense N-1;Estructura (exterior) con dos placas colgando;40,452535;-3,6927708
8943;3;AZCA;441187,5315;4478215,751;E: Orense N-2;Estructura (exterior) justo antes del frontis;40,4525227;-3,6935932
8944;2,95;AZCA;440986,71;4477883,444;E: G Moscardó N-1;Barra en frontis;40,4495149;-3,6959305
8945;4;AZCA;441064,0107;4477518,421;E: Agustín Betancourt N-1;BARRA;40,4462321;-3,6949851
8946;4;AZCA;441057,0031;4477414,663;E: Agustín Betancourt N-1;BARRA con cadenas, bajo cartelón direccional y Pintado rayas en frontis;40,4452969;-3,6950581
8947;4;AZCA;441080,0131;4477573,299;E: Agustín Betancourt N-2;E: Desde nivel 1 a nivel 2;40,4467276;-3,6948015
8948;3;AZCA;441101,5086;4477639,757;E: Agustín Betancourt N-1;Chapa con cadenas;40,4473278;-3,6945542
8958;2,95;AZCA;441010,4375;4477877,086;E: G Moscardó N-2;BARRA fija en interior;40,44945931;-3,695650115
8965;2,85;AZCA;441111,5793;4477889,948;Salida Basilica;BARRA con cadenas;40,44958235;-3,694458649
8966;2,85;AZCA;441086,6144;4477890,715;Salida Basilica;Chapas con cadenas;40,44958749;-3,694753106
8967;3;AZCA;441204,42;4478036,222;Bajada al nivel 2;BARRA fija;40,45090662;-3,693377419
8970;3;AZCA;441165,3536;4478160,209;E: Orense al nivel 2;BARRA fija;40,45202079;-3,693849585
8971;3;AZCA;441185,137;4478159,361;E: Orense al nivel 2;BARRA fija;40,45201454;-3,693616213
8972;2,85;AZCA;441101,1363;4477889,271;Salida Basilica desde el nivel 2;BARRA fija;40,44957551;-3,69458173
8973;3;AZCA;441241,8723;4477650,129;S: Paseo de la Castellana;Portico;40,44743117;-3,692900051
8968;3;AZCA;441282,369;4477795,824;S: A nivel 1 Hermanos Pizon;Portico;40,44874652;-3,692436
8969;3;AZCA;441292,4601;4477805,21;E: Desde nivel 1 Hermanos Pizon;Portico;40,44883178;-3,692317876
8974;3;AZCA;441294,0581;4478019,345;Zona norte;Chapas con cadenas;40,45076092;-3,692318828
8975;3;AZCA;441261,9311;4478021,55;Zona norte;BARRA fija;40,45077851;-3,692697879
8980;3;AZCA;441212,5241;4478035,8;Bajada al nivel 2;Chapa con cadenas;40,45090339;-3,693281814
8977;2,85;AZCA;441061,9487;4477893,239;Salida Basilica;BARRA fija;40,44960848;-3,695044198
8978;4;AZCA;441323,6363;4477957,233;Salida sentido Maragall;BARRA fija;40,45020348;-3,691964297
8963;4;AZCA;441324,5433;4477967,923;Salida sentido Maragall;BARRA fija;40,45029984;-3,69195459
8976;3;AZCA;441288,5822;4477792,263;E: A zona privada;BARRA fija;40,44871488;-3,692362406
8981;2,4;AZCA;441093,0476;4477691,231;E: Carril en zona privada;BARRA fija;40,4477909;-3,694658743
8928;4;BAILÉN - FERRAZ;439537,71;4474885,986;E: Plaza España;CHAPAS con cadenas;40,4224084;-3,7127318
8929;4;BAILÉN - FERRAZ;439386,8731;4474964,254;E: Ferraz;CHAPAS con cadenas;40,4231025;-3,7145172
8930;4;BAILÉN - FERRAZ;439471,4819;4474795,195;E: Cuesta de San Vicente;CHAPAS con cadenas;40,4215857;-3,7135038
8932;4,3;SANTA MARÍA DE LA CABEZA BAJO GLORIETA DE SANTA MARÍA DE LA CABEZA;441090,1042;4473112,731;E: Sta M Cabeza;Individual, colgado en cadena y barra;40,4065454;-3,6942692
8933;3,5;MARÍA DE MOLINA - VELÁZQUEZ - A-2 BAJO LÓPEZ DE HOYOS;442067,8213;4476529,635;E: Velázquez;Exterior (Barra con con cadenas);40,4373952;-3,6830586
8931;2,7;ATOCHA - TOLEDO - MAYOR BAJO PLAZA MAYOR;440195,4334;4474017,199;E: Atocha. Individual, colgado de cadena;CHAPAS con cadenas, bajo cartelón;40,4146295;-3,7048974
8982;2,95;GLORIETA DE SAN VICENTE (ENTRADA PRINCIPAL) RAMPA DE ACCESO Y VIRGEN DEL PUERTO - PASEO DEL REY;438901,4438;4474616,198;Interior;CHAPAS con cadenas;40,41994508;-3,720215203
8983;2,95;GLORIETA DE SAN VICENTE (ENTRADA PRINCIPAL) RAMPA DE ACCESO Y VIRGEN DEL PUERTO - PASEO DEL REY;438950,9083;4474640,146;Interior;BARRA con cadenas;40,4201315;-3,719622509
8984;2,95;GLORIETA DE SAN VICENTE (ENTRADA PRINCIPAL) RAMPA DE ACCESO Y VIRGEN DEL PUERTO - PASEO DEL REY;438906,4081;4474619,97;Interior;CHAPAS con cadenas;40,41997369;-3,720152995
8985;2,95;GLORIETA DE SAN VICENTE (ENTRADA PRINCIPAL) RAMPA DE ACCESO Y VIRGEN DEL PUERTO - PASEO DEL REY;438897,2408;4474613,054;Interior;BARRA;40,41991808;-3,720266467
8986;1,95;BAILÉN - FERRAZ;439521,7776;4474784,004;E: Senado;Barra fija;40,42148854;-3,712909899
8979;2,4;AZCA;441092,3825;4477690,674;E: A zona privada;BARRA fija;40,44778584;-3,694666534
